Info 0    [17:47:28.690] Starting TS Server
Info 63   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 64   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 65   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 66   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 67   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 68   [17:52:15.915] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 69   [17:52:15.915] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 70   [17:52:15.915] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 71   [17:52:15.915] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 72   [17:52:15.915] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 73   [17:52:15.915] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 74   [17:52:15.915] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 75   [17:52:15.915] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 76   [17:52:15.915] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 77   [17:52:15.915] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 78   [17:52:15.916] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 79   [17:52:15.916] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 80   [17:52:15.917] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 81   [17:52:15.917] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 82   [17:52:15.917] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 83   [17:52:15.917] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 84   [17:52:15.917] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 85   [17:52:15.917] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 86   [17:52:15.917] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 87   [17:52:15.917] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 88   [17:52:15.918] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 89   [17:52:15.918] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/package.json.3552158829 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 90   [17:52:15.918] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/package.json.3552158829 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 91   [17:52:15.918] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 92   [17:52:15.919] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/ejs/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 93   [17:52:15.919] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/package.json.4107740795 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 94   [17:52:15.919] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/package.json.4107740795 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 95   [17:52:15.919] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 96   [17:52:15.919] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/@types/mongoose/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 97   [17:52:15.919] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 98   [17:52:15.919] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 99   [17:52:15.920] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 100  [17:52:15.920] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 101  [17:52:16.116] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [17:52:16.293] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true Elapsed: 177ms
Info 103  [17:52:16.293] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 104  [17:52:16.294] Structure before ensureProjectForOpenFiles:
Info 105  [17:52:16.294] Structure after ensureProjectForOpenFiles:
